序号,标的代码,标的全称,持仓头寸,折合人民币市值,仓位占比,过去12个月每股已派发股息（原生币种）,适用股息税率,税前总股息（人民币）,应缴股息税（人民币）,税后到手股息（人民币）,税后股息贡献占比,官方数据来源
1,QQQM,景顺纳斯达克100 ETF,5000股,"9,503,941.09",46.02%,1.26925 USD,10%,"43,463.56","4,346.36","39,117.21",8.99%,Eastmoney historical close 2026-05-01 / backfilled for 2026-05-02
2,VOO,先锋标普500 ETF,700股,"3,176,180.54",15.38%,7.1281 USD,10%,"34,172.75","3,417.28","30,755.48",7.07%,Eastmoney historical close 2026-05-01 / backfilled for 2026-05-02
3,IYW,iShares美国科技ETF,1300股,"1,967,720.56",9.53%,0.27066 USD,10%,"2,409.77",240.98,"2,168.79",0.50%,Eastmoney historical close 2026-05-01 / backfilled for 2026-05-02
4,GPIQ,高盛纳指100收益ETF,4500股,"1,702,141.67",8.24%,5.42773 USD,0.5%,"167,278.03",836.39,"166,441.64",38.27%,Eastmoney historical close 2026-05-01 / backfilled for 2026-05-02
5,QQQI,NEOS纳指100高收益ETF,2350股,"878,112.93",4.25%,7.57649 USD,0.1%,"121,939.40",121.94,"121,817.46",28.01%,Eastmoney historical close 2026-05-01 / backfilled for 2026-05-02
6,BITB,Bitwise现货比特币ETF,3000股,"875,058.41",4.24%,0 USD,0%,0.00,0.00,0.00,0.00%,Eastmoney historical close 2026-05-01 / backfilled for 2026-05-02
7,0883.HK,中国海洋石油港股,30000股,"770,475.53",3.73%,1.28 HKD,10%,"33,567.35","3,356.73","30,210.61",6.95%,Eastmoney historical close 2026-04-30 / backfilled for 2026-05-02
8,0700.HK,腾讯控股港股,1500股,"613,390.83",2.97%,5.3 HKD,0%,"6,949.49",0.00,"6,949.49",1.60%,Eastmoney historical close 2026-04-30 / backfilled for 2026-05-02
9,690D.DE,海尔智家D股,30000股,"464,123.63",2.25%,0.15104 EUR,10%,"36,363.33","3,636.33","32,727.00",7.52%,Nearest future snapshot template price 2026-05-06; historical close 待核验 / backfilled for 2026-05-02
10,CGDV,资本集团股息价值ETF,1350股,"430,574.35",2.09%,0.5685 USD,10%,"5,256.21",525.62,"4,730.59",1.09%,Eastmoney historical close 2026-05-01 / backfilled for 2026-05-02
11,BYTE,字节跳动内部期权,171份,"268,773.81",1.30%,0 USD,0%,0.00,0.00,0.00,0.00%,用户固定口径：229.5 USD/股 / backfilled for 2026-05-02
合计,,,,"20,650,493.36",100.00%,,,"451,399.89","16,481.63","434,918.26",100.00%,
