序号,标的代码,标的全称,持仓头寸,折合人民币市值,仓位占比,过去12个月每股已派发股息（原生币种）,适用股息税率,税前总股息（人民币）,应缴股息税（人民币）,税后到手股息（人民币）,税后股息贡献占比,官方数据来源
1,QQQM,景顺纳斯达克100 ETF,5000股,"10,338,101.61",47.34%,1.26925 USD,10%,"43,030.22","4,303.02","38,727.20",8.91%,Eastmoney historical close 2026-06-04 / backfilled for 2026-06-04
2,VOO,先锋标普500 ETF,700股,"3,303,703.88",15.13%,7.1281 USD,10%,"33,832.04","3,383.20","30,448.84",7.01%,Eastmoney historical close 2026-06-04 / backfilled for 2026-06-04
3,IYW,iShares美国科技ETF,1300股,"2,260,224.84",10.35%,0.27066 USD,10%,"2,385.74",238.57,"2,147.17",0.49%,Eastmoney historical close 2026-06-04 / backfilled for 2026-06-04
4,GPIQ,高盛纳指100收益ETF,4500股,"1,804,472.34",8.26%,5.53238 USD,0.5%,"168,803.29",844.02,"167,959.28",38.66%,Eastmoney historical close 2026-06-04 / backfilled for 2026-06-04
5,QQQI,NEOS纳指100高收益ETF,2350股,"914,451.09",4.19%,7.59829 USD,0.1%,"121,071.00",121.07,"120,949.93",27.84%,Eastmoney historical close 2026-06-04 / backfilled for 2026-06-04
6,0883.HK,中国海洋石油港股,30000股,"705,627.81",3.23%,1.28 HKD,10%,"33,427.22","3,342.72","30,084.50",6.92%,Eastmoney historical close 2026-06-04 / backfilled for 2026-06-04
7,BITB,Bitwise现货比特币ETF,3000股,"701,976.56",3.21%,0 USD,0%,0.00,0.00,0.00,0.00%,Eastmoney historical close 2026-06-04 / backfilled for 2026-06-04
8,0700.HK,腾讯控股港股,1500股,"599,339.68",2.74%,5.3 HKD,0%,"6,920.48",0.00,"6,920.48",1.59%,Eastmoney historical close 2026-06-04 / backfilled for 2026-06-04
9,CGDV,资本集团股息价值ETF,1500股,"498,665.76",2.28%,0.5685 USD,10%,"5,782.00",578.20,"5,203.80",1.20%,Eastmoney historical close 2026-06-04 / backfilled for 2026-06-04
10,690D.DE,海尔智家D股,30000股,"445,806.46",2.04%,0.15104 EUR,10%,"35,559.05","3,555.91","32,003.15",7.38%,Nearest snapshot template price 2026-06-08; historical close 待核验 / backfilled for 2026-06-04
11,BYTE,字节跳动内部期权,171股,"266,094.07",1.23%,0 USD,0%,0.00,0.00,0.00,0.00%,用户固定口径：229.5 USD/股 / backfilled for 2026-06-04
合计,,,,"21,838,464.10",100.00%,,,"450,811.05","16,366.72","434,444.34",100.00%,
